SR Legacy                                 ,FNDDS                                   ,Zameret             ,AUSNUT                          ,MEXT                                                               ,Baharain,FoundationFoods
,,,,beta-Caroteneequivalents                                           ,,
"Cryptoxanthin, beta                     ","Cryptoxanthin, beta (mcg)             ",,,beta-Cryptoxanthin                                                 ,,"Cryptoxanthin, beta"
"Tocopherol, beta                        ",,,,beta-Tocopherol                                                    ,,"Tocopherol, beta"
Caffeine                                  ,Caffeine (mg)                           ,,caffeine_mg                     ,Caffeine                                                           ,,
,,,,Chromium                                                           ,,
,,,,Cooking oil                                                        ,,
"Tocopherol, delta                       ",,,,delta-Tocopherol                                                   ,,"Tocopherol, delta"
,,,,"Dietary fiber, insoluble                                         ",,"Fiber, insoluble"
,,,,"Dietary fiber, soluble                                           ",,"Fiber, soluble"
,,,energy_kj                       ,Energy (kJ)                                                        ,,
,,,,"Fatty acid, triacyl-glycerol equivalents                         ",,
"Tocopherol, gamma                       ",,,,gamma-Tocopherol                                                   ,,"Tocopherol, gamma"
,,,,Molybdenum                                                         ,,"Molybdenum, Mo"
,,,,Nitrate ion                                                        ,,
,,,,"Organic acids, total                                             ",,
,,,,Polyphenol                                                         ,,
,,,,"Protein, calculated as the sum of amino acid residues            ",,
Retinol                                   ,Retinol (µg)                            ,,retinol_ug                      ,Retinol                                                            ,,Retinol
,,,,Salt equivalents                                                   ,,
,,,,Tannin                                                             ,,
Theobromine                               ,Theobromine (mg)                        ,,,Theobromine                                                        ,,
Alanine                                   ,,,,,,Alanine
Aspartic acid                             ,,,,,,Aspartic acid
Beta-sitosterol                           ,,,,,,Beta-sitosterol
Betaine                                   ,,,,,,Betaine
Campesterol                               ,,,,,,Campesterol
"Fatty acids, total trans-monoenoic      ",,,,,,"Fatty acids, total trans-monoenoic"
"Fatty acids, total trans-polyenoic      ",,,,,,
"Fluoride, F                             ",,,,,,
"Folate, food                            ","Folate, food (mcg)                    ",,,,,
Folic acid                                ,Folic acid (mcg)                        ,,folicacid_ug                    ,,,
Galactose                                 ,,,,,,Galactose
Glucose                                   ,,,,,,Glucose
Glutamic acid                             ,,,,,,Glutamic acid
Glycine                                   ,,,,,,Glycine
Hydroxyproline                            ,,,,,,Hydroxyproline
Lactose                                   ,,,,,,Lactose
Lutein + zeaxanthin                       ,Lutein + zeaxanthin (mcg)               ,,,,,Lutein + zeaxanthin
Lycopene                                  ,Lycopene (mcg)                          ,,,,,Lycopene
Maltose                                   ,,,,,,Maltose
MUFA 14:1                                 ,,,,,,MUFA 14:1 c
MUFA 15:1                                 ,,,,,,MUFA 15:1
MUFA 16:1                                 ,16:1 (g)                                ,,,,,
MUFA 17:1                                 ,,,,,,MUFA 17:1
MUFA 18:1                                 ,18:1 (g)                                ,,,,,MUFA 18:1
MUFA 18:1-11 t (18:1t n-7)                ,,,,,,
MUFA 22:1 c                               ,,,,,,MUFA 22:1 c
MUFA 24:1 c                               ,,,,,,MUFA 24:1 c
Phytosterols                              ,,,,,,
Proline                                   ,,,,,,Proline
PUFA 18:2                                 ,18:2 (g)                                ,,,,,PUFA 18:2
PUFA 18:2 CLAs                            ,,,,,,PUFA 18:2 CLAs
PUFA 18:2 i                               ,,,,,,
PUFA 18:3                                 ,18:3 (g)                                ,,,,,PUFA 18:3
"PUFA 18:3 n-6 c,c,c                     ",,,,,,"PUFA 18:3 n-6 c,c,c"
PUFA 18:3i                                ,,,,,,
PUFA 2:4 n-6                              ,,,,,,
"PUFA 20:2 n-6 c,c                       ",,,,,,"PUFA 20:2 n-6 c,c"
PUFA 20:3                                 ,,,,,,PUFA 20:3
PUFA 20:3 n-3                             ,,,,,,PUFA 20:3 n-3
PUFA 20:4                                 ,20:4 (g)                                ,,,,,
PUFA 21:5                                 ,,,,,,
PUFA 22:4                                 ,,,,,,PUFA 22:4
SFA 13:0                                  ,,,,,,
SFA 15:0                                  ,,,,,,SFA 15:0
SFA 17:0                                  ,,,,,,SFA 17:0
SFA 20:0                                  ,,,,,,SFA 20:0
SFA 22:0                                  ,,,,,,SFA 22:0
SFA 24:0                                  ,,,,,,SFA 24:0
Starch                                    ,,,starch_g                        ,,,Starch
Stigmasterol                              ,,,,,,Stigmasterol
Sucrose                                   ,,,,,,Sucrose
TFA 16:1 t                                ,,,,,,TFA 16:1 t
TFA 18:1 t                                ,,,,,,TFA 18:1 t
TFA 18:2 t not further defined            ,,,,,,TFA 18:2 t not further defined
"TFA 18:2 t,t                            ",,,,,,
TFA 22:1 t                                ,,,,,,TFA 22:1 t
"Tocotrienol, alpha                      ",,,,,,"Tocotrienol, alpha"
"Tocotrienol, beta                       ",,,,,,"Tocotrienol, beta"
"Tocotrienol, delta                      ",,,,,,"Tocotrienol, delta"
"Tocotrienol, gamma                      ",,,,,,"Tocotrienol, gamma"
"Vitamin B-12, added                     ","Vitamin B-12, added (µg)              ",,,,,
"Vitamin D (D2 + D3), International Units",,,,,,"Vitamin D (D2 + D3), International Units"
Vitamin D2 (ergocalciferol)               ,,,,,,Vitamin D2 (ergocalciferol)
Vitamin D3 (cholecalciferol)              ,,,,,,Vitamin D3 (cholecalciferol)
"Vitamin E, added                        ","Vitamin E, added (mg)                 ",,,,,
Vitamin K (Dihydrophylloquinone)          ,,,,,,Vitamin K (Dihydrophylloquinone)
Vitamin K (Menaquinone-4)                 ,,,,,,Vitamin K (Menaquinone-4)
